Initial max|⟨B·n⟩ᵢ|: 0.05797042474689112
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=4.4e+00, Jf=1.3e-02, ⟨B·n⟩=1.1e-02, Len=sum([15.5, 15.5, 15.4])=46.4, ϰ=[0.5, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.40, C-S-Sep=1.53, ║∇J║=3.7e+02
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=1.8e+00, Jf=1.6e-02, ⟨B·n⟩=1.2e-02, Len=sum([15.5, 15.5, 15.5])=46.5, ϰ=[0.5, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.44, C-S-Sep=1.57, ║∇J║=2.4e+02
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=6.6e-01, Jf=1.7e-02, ⟨B·n⟩=1.3e-02, Len=sum([15.6, 15.6, 15.5])=46.6, ϰ=[0.5, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.46, C-S-Sep=1.58, ║∇J║=1.4e+02
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=2.4e-01, Jf=1.9e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.7, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.47, C-S-Sep=1.58, ║∇J║=7.1e+01
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=1.1e-01, Jf=1.9e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.8, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.48, C-S-Sep=1.59, ║∇J║=3.2e+01
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
