Initial max|⟨B·n⟩ᵢ|: 0.2644252752006932
J=1.1e+00, Jf=6.0e-01, ⟨B·n⟩=9.4e-02, Len=sum([13.4, 15.3, 13.2])=41.9, ϰ=[0.8, 0.5, 1.2], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=1.5e+01
J=1.1e+00, Jf=6.2e-01, ⟨B·n⟩=9.5e-02, Len=sum([13.4, 15.4, 13.2])=41.9, ϰ=[0.8, 0.5, 1.2], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.50, C-S-Sep=0.08, ║∇J║=5.5e+00
J=1.1e+00, Jf=6.0e-01, ⟨B·n⟩=9.4e-02, Len=sum([13.4, 15.4, 13.2])=41.9, ϰ=[0.8, 0.5, 1.2], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.50, C-S-Sep=0.08, ║∇J║=3.9e+00
J=1.0e+00, Jf=5.9e-01, ⟨B·n⟩=9.3e-02, Len=sum([13.4, 15.4, 13.2])=41.9, ϰ=[0.8, 0.5, 1.2], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.50, C-S-Sep=0.10, ║∇J║=3.6e+00
J=9.6e-01, Jf=5.4e-01, ⟨B·n⟩=8.9e-02, Len=sum([13.5, 15.3, 13.2])=42.0, ϰ=[0.8, 0.5, 1.3], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.48, C-S-Sep=0.15, ║∇J║=1.6e+01
J=9.7e-01, Jf=5.7e-01, ⟨B·n⟩=9.2e-02, Len=sum([13.4, 15.3, 13.2])=42.0, ϰ=[0.8, 0.5, 1.2], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.50, C-S-Sep=0.11, ║∇J║=2.9e+00
J=9.2e-01, Jf=5.5e-01, ⟨B·n⟩=9.0e-02, Len=sum([13.5, 15.3, 13.2])=42.0, ϰ=[0.8, 0.5, 1.3], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.13, ║∇J║=4.1e+00
J=8.8e-01, Jf=5.1e-01, ⟨B·n⟩=8.7e-02, Len=sum([13.5, 15.3, 13.2])=42.0, ϰ=[0.9, 0.5, 1.3], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.14, ║∇J║=5.5e+00
J=3.9e+00, Jf=4.0e-01, ⟨B·n⟩=7.6e-02, Len=sum([13.6, 15.3, 13.2])=42.1, ϰ=[1.1, 0.5, 1.8], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.44, C-S-Sep=0.13, ║∇J║=2.8e+02
J=8.6e-01, Jf=5.0e-01, ⟨B·n⟩=8.6e-02, Len=sum([13.5, 15.3, 13.2])=42.0, ϰ=[0.9, 0.5, 1.4], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.13, ║∇J║=2.9e+00
J=1.3e+01, Jf=3.4e-01, ⟨B·n⟩=7.1e-02, Len=sum([13.7, 15.3, 13.2])=42.2, ϰ=[1.2, 0.5, 2.0], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.40, C-S-Sep=0.14, ║∇J║=6.2e+02
J=8.6e-01, Jf=4.9e-01, ⟨B·n⟩=8.6e-02, Len=sum([13.5, 15.3, 13.2])=42.0, ϰ=[0.9, 0.5, 1.4], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.50, C-S-Sep=0.13, ║∇J║=4.5e+00
J=8.3e-01, Jf=4.8e-01, ⟨B·n⟩=8.4e-02, Len=sum([13.5, 15.3, 13.2])=42.0, ϰ=[0.9, 0.5, 1.5], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=6.3e+00
J=8.3e-01, Jf=4.3e-01, ⟨B·n⟩=8.0e-02, Len=sum([13.5, 15.3, 13.2])=42.0, ϰ=[1.0, 0.5, 1.6], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.12, ║∇J║=2.2e+01
J=8.1e-01, Jf=4.6e-01, ⟨B·n⟩=8.2e-02, Len=sum([13.5, 15.3, 13.2])=42.0, ϰ=[0.9, 0.5, 1.5], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=6.5e+00
J=8.0e-01, Jf=3.8e-01, ⟨B·n⟩=7.5e-02, Len=sum([13.5, 15.4, 13.2])=42.1, ϰ=[1.1, 0.5, 1.8], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.49, C-S-Sep=0.12, ║∇J║=1.5e+01
J=7.8e-01, Jf=4.2e-01, ⟨B·n⟩=7.9e-02, Len=sum([13.5, 15.4, 13.2])=42.0, ϰ=[1.0, 0.5, 1.6], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.50, C-S-Sep=0.13, ║∇J║=8.2e+00
J=7.8e-01, Jf=3.6e-01, ⟨B·n⟩=7.3e-02, Len=sum([13.6, 15.4, 13.2])=42.1, ϰ=[1.1, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.51, C-S-Sep=0.12, ║∇J║=3.1e+00
J=7.6e-01, Jf=4.0e-01, ⟨B·n⟩=7.6e-02, Len=sum([13.5, 15.4, 13.2])=42.1, ϰ=[1.0, 0.5, 1.8], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=1.8e+00
J=7.4e-01, Jf=3.9e-01, ⟨B·n⟩=7.5e-02, Len=sum([13.6, 15.4, 13.2])=42.1, ϰ=[1.1, 0.5, 1.8], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=1.5e+00
J=1.1e+00, Jf=3.2e-01, ⟨B·n⟩=6.9e-02, Len=sum([13.7, 15.3, 13.2])=42.3, ϰ=[1.3, 0.5, 2.4], ∫ϰ²/L=[0.3, 0.2, 0.6], C-C-Sep=0.46, C-S-Sep=0.11, ║∇J║=6.1e+01
J=7.3e-01, Jf=3.7e-01, ⟨B·n⟩=7.3e-02, Len=sum([13.6, 15.4, 13.2])=42.2, ϰ=[1.1, 0.5, 2.0], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=3.4e+00
J=7.2e-01, Jf=3.6e-01, ⟨B·n⟩=7.3e-02, Len=sum([13.6, 15.3, 13.2])=42.2, ϰ=[1.1, 0.5, 2.1], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.11, ║∇J║=8.6e-01
J=7.1e-01, Jf=3.6e-01, ⟨B·n⟩=7.3e-02, Len=sum([13.6, 15.4, 13.2])=42.2, ϰ=[1.1, 0.5, 2.1], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.12, ║∇J║=8.0e-01
J=7.1e-01, Jf=3.8e-01, ⟨B·n⟩=7.5e-02, Len=sum([13.6, 15.4, 13.2])=42.1, ϰ=[1.1, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.51, C-S-Sep=0.13, ║∇J║=7.1e-01
J=6.6e-01, Jf=3.3e-01, ⟨B·n⟩=7.0e-02, Len=sum([13.7, 15.4, 13.1])=42.1, ϰ=[1.2, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=7.1e-01
J=5.5e+00, Jf=1.9e-01, ⟨B·n⟩=5.2e-02, Len=sum([13.9, 15.4, 12.9])=42.2, ϰ=[1.6, 0.5, 1.7], ∫ϰ²/L=[0.4, 0.2, 0.4], C-C-Sep=0.39, C-S-Sep=0.14, ║∇J║=2.5e+02
J=6.6e-01, Jf=3.3e-01, ⟨B·n⟩=6.9e-02, Len=sum([13.7, 15.4, 13.1])=42.1, ϰ=[1.2, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=7.3e-01
J=2.0e+00, Jf=2.3e-01, ⟨B·n⟩=5.8e-02, Len=sum([13.8, 15.4, 13.0])=42.2, ϰ=[1.4, 0.5, 1.8], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.43, C-S-Sep=0.14, ║∇J║=1.3e+02
J=6.4e-01, Jf=3.1e-01, ⟨B·n⟩=6.8e-02, Len=sum([13.7, 15.4, 13.1])=42.1, ϰ=[1.2, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=7.7e-01
J=5.5e+01, Jf=2.6e-02, ⟨B·n⟩=1.5e-02, Len=sum([15.0, 15.7, 12.6])=43.4, ϰ=[6.8, 0.5, 2.8], ∫ϰ²/L=[0.9, 0.2, 0.7], C-C-Sep=0.25, C-S-Sep=0.09, ║∇J║=8.3e+02
J=6.4e-01, Jf=3.1e-01, ⟨B·n⟩=6.8e-02, Len=sum([13.7, 15.4, 13.1])=42.1, ϰ=[1.2, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=7.8e-01
J=4.6e+01, Jf=8.0e-02, ⟨B·n⟩=3.3e-02, Len=sum([14.3, 15.5, 12.8])=42.6, ϰ=[2.6, 0.5, 2.1], ∫ϰ²/L=[0.5, 0.2, 0.5], C-C-Sep=0.22, C-S-Sep=0.13, ║∇J║=8.6e+02
J=6.4e-01, Jf=3.1e-01, ⟨B·n⟩=6.8e-02, Len=sum([13.7, 15.4, 13.1])=42.1, ϰ=[1.2, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=7.8e-01
J=2.1e+01, Jf=1.4e-01, ⟨B·n⟩=4.4e-02, Len=sum([14.0, 15.5, 12.9])=42.4, ϰ=[2.0, 0.5, 1.9], ∫ϰ²/L=[0.4, 0.2, 0.5], C-C-Sep=0.30, C-S-Sep=0.12, ║∇J║=5.8e+02
J=6.4e-01, Jf=3.1e-01, ⟨B·n⟩=6.7e-02, Len=sum([13.7, 15.4, 13.1])=42.1, ϰ=[1.2, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=7.8e-01
J=8.5e+00, Jf=1.9e-01, ⟨B·n⟩=5.2e-02, Len=sum([13.9, 15.4, 12.9])=42.3, ϰ=[1.7, 0.5, 1.8], ∫ϰ²/L=[0.4, 0.2, 0.5], C-C-Sep=0.36, C-S-Sep=0.12, ║∇J║=3.4e+02
J=6.4e-01, Jf=3.1e-01, ⟨B·n⟩=6.7e-02, Len=sum([13.7, 15.4, 13.1])=42.1, ϰ=[1.2, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.15, ║∇J║=7.9e-01
J=3.4e+00, Jf=2.2e-01, ⟨B·n⟩=5.7e-02, Len=sum([13.8, 15.4, 13.0])=42.2, ϰ=[1.5, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.41, C-S-Sep=0.13, ║∇J║=1.9e+02
J=6.4e-01, Jf=3.1e-01, ⟨B·n⟩=6.7e-02, Len=sum([13.7, 15.4, 13.1])=42.1, ϰ=[1.2, 0.5, 1.9], ∫ϰ²/L=[0.3, 0.2, 0.5], C-C-Sep=0.50, C-S-Sep=0.15, ║∇J║=1.1e+00
J=6.4e-01, Jf=2.5e-01, ⟨B·n⟩=6.1e-02, Len=sum([13.7, 15.4, 13.0])=42.1, ϰ=[1.3, 0.5, 1.7], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.14, ║∇J║=1.6e+01
J=6.2e-01, Jf=2.8e-01, ⟨B·n⟩=6.4e-02, Len=sum([13.7, 15.4, 13.0])=42.1, ϰ=[1.3, 0.5, 1.8], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.15, ║∇J║=6.9e+00
J=1.9e+00, Jf=1.3e-01, ⟨B·n⟩=4.3e-02, Len=sum([13.8, 15.5, 12.7])=42.0, ϰ=[1.6, 0.5, 1.3], ∫ϰ²/L=[0.4, 0.2, 0.3], C-C-Sep=0.42, C-S-Sep=0.11, ║∇J║=9.5e+01
J=6.1e-01, Jf=2.6e-01, ⟨B·n⟩=6.2e-02, Len=sum([13.7, 15.4, 13.0])=42.1, ϰ=[1.3, 0.5, 1.7], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.14, ║∇J║=7.4e+00
J=5.9e-01, Jf=2.3e-01, ⟨B·n⟩=5.8e-02, Len=sum([13.7, 15.4, 12.9])=42.1, ϰ=[1.4, 0.5, 1.7], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.14, ║∇J║=8.9e+00
J=5.8e-01, Jf=2.3e-01, ⟨B·n⟩=5.7e-02, Len=sum([13.7, 15.4, 12.9])=42.1, ϰ=[1.4, 0.5, 1.7], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=1.6e+00
J=5.6e-01, Jf=2.2e-01, ⟨B·n⟩=5.7e-02, Len=sum([13.7, 15.4, 12.9])=42.1, ϰ=[1.4, 0.5, 1.7], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.50, C-S-Sep=0.14, ║∇J║=4.2e+00
J=5.5e-01, Jf=2.1e-01, ⟨B·n⟩=5.5e-02, Len=sum([13.7, 15.4, 12.9])=42.1, ϰ=[1.4, 0.5, 1.7], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.13, ║∇J║=7.8e+00
J=5.2e-01, Jf=1.6e-01, ⟨B·n⟩=4.8e-02, Len=sum([13.8, 15.5, 12.8])=42.1, ϰ=[1.6, 0.5, 1.7], ∫ϰ²/L=[0.3, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.13, ║∇J║=6.4e+00
J=4.9e-01, Jf=1.4e-01, ⟨B·n⟩=4.5e-02, Len=sum([13.8, 15.5, 12.8])=42.1, ϰ=[1.6, 0.5, 1.7], ∫ϰ²/L=[0.4, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.13, ║∇J║=4.9e+00
J=2.5e+01, Jf=1.9e-02, ⟨B·n⟩=1.5e-02, Len=sum([14.2, 15.7, 12.4])=42.3, ϰ=[2.6, 0.6, 1.7], ∫ϰ²/L=[0.4, 0.2, 0.4], C-C-Sep=0.34, C-S-Sep=0.09, ║∇J║=8.0e+02
J=4.9e-01, Jf=1.4e-01, ⟨B·n⟩=4.4e-02, Len=sum([13.8, 15.5, 12.8])=42.1, ϰ=[1.6, 0.5, 1.7], ∫ϰ²/L=[0.4, 0.2, 0.4], C-C-Sep=0.49, C-S-Sep=0.13, ║∇J║=4.8e+00
